level,type,prompt,topic,points,option_a,option_b,option_c,option_d,correct,fill_answers,fill_case_sensitive
A1,MC,A: Was it your birthday on Monday? B: ________.,grammar,1,"Yes, it was","No, I wasn’t","Yes, I was Read. Choose the correct option. When I was a child, I lived in the US. My favorite singer was Michael Jackson. I listened to his music all the time. My mother was a piano teacher, and she helped me learn to play his songs, too. We moved to Columbia when I was 12 because my father wanted to work with a company in Bogotá. We lived there for ten years. I discovered lots of music by Colombian groups: my favorite was a rock and roll group from Cartagena—they were great! I watched them in concert five times in Bogotá. I later learned to play the guitar, and I started my own rock and roll band with some friends. We weren’t very good! Music is still important to me. I sometimes play the drums in a jazz group. I usually listen to jazz or classical music when I drive. I’m a taxi driver, and the music helps me relax in traffic.",,A,,
A1,MC,Which was the second musical instrument the writer learned to play?,grammar,1,the drums,the guitar,the piano,,B,,
A1,MC,The writer moved to Colombia ________.,grammar,1,because his mother wanted to teach in Bogotá,because he joined a Colombian band,because of his father’s job,,C,,
A1,MC,The writer learned to play the guitar because ________.,grammar,1,his mother helped him,he wanted to start a band,"he was good at it Read. Choose the correct option. My name’s Robert. My students and family call me Rob. I’m from Coventry in the United Kingdom. I’m an English teacher in London. In my class, I have ten students from Vietnam, Brazil, Mexico, and Italy. Eight of the students are doctors, and two are photographers. I’m a photographer. My name is Pedro. Rob is my teacher. I’m from Mexico, so I speak Spanish, but now I’m in London with my family. Here I speak English. This is my favorite photo—it’s my friend, Ana. She’s a doctor from Rio de Janeiro. She’s happy. Look! Good morning, everyone. I’m Ana. I’m from Brazil, and I speak English, Italian, and Portuguese. My family is in Rio. I’m a student in London.",,B,,
A1,MC,Who is in London?,grammar,1,Rob,Ana and Rob,"Rob, Ana, and Pedro",,C,,
A1,MC,Who is with his family?,grammar,1,Rob,Rob and Pedro,Pedro,,C,,
A1,MC,Who is in a photograph?,grammar,1,Ana,"Pedro c. Rob Read. Choose the correct option. Interview What do you do? I’m a DJ. I play music in clubs. What’s your daily routine? Well, I work from Wednesday to Saturday, from night to morning. On Sundays, I get up late. But from Monday to Wednesday, I get up at 10:00 in the morning. I have coffee and eggs for breakfast, and then I read a book for an hour. In the afternoon, I listen to music and talk to friends. What do you do when you work? I start work at 9:00 in the evening. I play music until 4:30 or 5:00 in the morning. Then I go home. I love cooking, so I make my favorite meal—fish with rice. I have dinner at 7:00 in the morning, and then I go to bed at 10 o’clock. I get up at 4:30 p.m. That’s when I have breakfast. Do you do exercise? Yes. I enjoy running. I also play soccer on Sundays in the park with some friends.",,,A,,
A1,MC,The DJ has breakfast in the afternoon on ________.,grammar,1,Mondays,Wednesdays,Thursdays,,C,,
A1,MC,The DJ gets up in the afternoon on ________.,grammar,1,Saturdays,Tuesdays,Mondays,,A,,
A1,MC,"When he works, the DJ has dinner at ________.",grammar,1,5 p.m.,7 a.m.,"9 p.m. Read. Choose the correct option. A sporty family Rashid is my friend. His family loves sports. His mother is a doctor and she likes running. She runs three kilometers before breakfast five days a week. She also runs marathons—that’s 42 kilometers! She likes tennis, too, and she plays in a club on weekends. Her husband is a sports teacher at our school. He likes basketball, soccer, and tennis, and he also runs with his wife. They have two children. Rashid is their son. I play soccer with him in school, and in the park after school, too. Sometimes we play against other schools on Saturdays. Rashid also likes cycling and Formula 1, but I don’t. I love scuba diving, but Rashid can’t swim. Aisha is Rashid’s sister. She’s ten, and she loves swimming and playing ping-pong. My sister is named Ruby. She doesn’t like sports—she’s only 18 months old!",,B,,
A1,MC,Who plays soccer in school?,grammar,1,Aisha,Rashid’s father,Rashid and the writer,,C,,
A1,MC,Who likes tennis?,grammar,1,Aisha,Rashid’s mother and father,"Rashid Read. Choose the correct option. Paul lives in Miami but he knows Tokyo, New York, and many other international cities very well. Do you want to know where there are great beaches in Thailand? Ask Paul. The best museums in Berlin? Ask Paul. He also knows where there are nice, cheap restaurants in Paris and Rio. Every year, he visits those cities many times because Paul is a pilot; he flies planes to and from the United States. Paul usually works one day, and then the next day, he rests in a hotel and explores the area. The day after that, he flies back to the US. He travels with one small suitcase. There are a couple of shirts, a pair of shorts for swimming, two T-shirts, and a pair of comfortable shoes in it. Where does he go on vacation? “I travel so much because of my work,” he says. “So, I always enjoy spending my vacation in my own country. I love fishing in a river near my house.”",,B,,
A1,MC,"When he is in a different place because of his job, Paul enjoys ________.",grammar,1,museums and local restaurants,swimming and shopping,flying and walking,,A,,
A1,MC,Paul likes hotels with a ________.,grammar,1,gift shop,restaurant,swimming pool,,C,,
A1,MC,Paul’s hobby is ________.,grammar,1,flying,eating,fishing,,C,,
A1,MC,Paul enjoys spending his vacation ________.,grammar,1,in different cities,near his home,in lots of countries,,B,,
